date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:21	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:21%20GMT	https://gesia.io/robots.txt		(from )
18:27:22	34854/34854	---MCZ	200	added ('OK')	text/html	etag:W/%221039328-34854-2024-04-18T16:15:10.650Z%22	https://gesia.io/	C:/My%20Web%20Sites/OpenGive/gesia.io/index.html	(from )
18:27:22	1070/1070	---M--	200	added ('OK')	image/png	etag:W/%22258491-1070-2024-04-06T11:44:42.459Z%22	https://gesia.io/assets/images/favicon.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicon.png	(from https://gesia.io/)
18:27:22	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:22%20GMT	https://gesia.io/assets/images/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-57x57.png	(from https://gesia.io/)
18:27:22	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:22%20GMT	https://gesia.io/assets/images/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-60x60.png	(from https://gesia.io/)
18:27:23	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:23%20GMT	https://gesia.io/assets/images/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-72x72.png	(from https://gesia.io/)
18:27:23	410480/410480	---M--	200	added ('OK')	image/png	etag:W/%221320087-410480-2024-04-18T16:11:02.944Z%22	https://gesia.io/common/resources/meta/cb-meta_kakao.png	C:/My%20Web%20Sites/OpenGive/gesia.io/common/resources/meta/cb-meta_kakao.png	(from https://gesia.io/)
18:27:23	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:23%20GMT	https://gesia.io/assets/images/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-76x76.png	(from https://gesia.io/)
18:27:23	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:23%20GMT	https://gesia.io/assets/images/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-114x114.png	(from https://gesia.io/)
18:27:23	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:23%20GMT	https://gesia.io/assets/images/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-120x120.png	(from https://gesia.io/)
18:27:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:23%20GMT	https://gesia.io/assets/images/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-144x144.png	(from https://gesia.io/)
18:27:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:24%20GMT	https://gesia.io/assets/images/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-152x152.png	(from https://gesia.io/)
18:27:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:24%20GMT	https://gesia.io/assets/images/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/apple-icon-180x180.png	(from https://gesia.io/)
18:27:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:24%20GMT	https://gesia.io/assets/images/favicons/android-icon-192x192.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/android-icon-192x192.png	(from https://gesia.io/)
18:27:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:24%20GMT	https://gesia.io/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/favicon-32x32.png	(from https://gesia.io/)
18:27:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:25%20GMT	https://gesia.io/assets/images/favicons/favicon-96x96.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/favicon-96x96.png	(from https://gesia.io/)
18:27:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:25%20GMT	https://gesia.io/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/favicon-16x16.png	(from https://gesia.io/)
18:27:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:25%20GMT	https://gesia.io/manifest.json	C:/My%20Web%20Sites/OpenGive/gesia.io/manifest.json	(from https://gesia.io/)
18:27:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Jun%202024%2012:57:25%20GMT	https://gesia.io/assets/images/favicons/ms-icon-144x144.png	C:/My%20Web%20Sites/OpenGive/gesia.io/assets/images/favicons/ms-icon-144x144.png	(from https://gesia.io/)
18:27:26	1696/1696	---M--	200	added ('OK')	text/css	etag:W/%221320050-1696-2024-04-18T16:11:01.960Z%22	https://gesia.io/common/css/reset.css?update=240418_1216	C:/My%20Web%20Sites/OpenGive/gesia.io/common/css/reset7021.css	(from https://gesia.io/)
18:27:26	5286/5286	---M--	200	added ('OK')	text/css	etag:W/%221320048-5286-2024-04-18T16:11:01.924Z%22	https://gesia.io/common/css/fullPage.css	C:/My%20Web%20Sites/OpenGive/gesia.io/common/css/fullPage.css	(from https://gesia.io/)
18:27:26	8528/8528	---M--	200	added ('OK')	text/css	etag:W/%221320045-8528-2024-04-18T16:11:01.868Z%22	https://gesia.io/common/css/common.css?update=240418_1216	C:/My%20Web%20Sites/OpenGive/gesia.io/common/css/common7021.css	(from https://gesia.io/)
18:27:26	8014/8014	---M--	200	added ('OK')	text/css	etag:W/%221320049-8014-2024-04-18T16:11:01.932Z%22	https://gesia.io/common/css/layout.css?update=240418_1216	C:/My%20Web%20Sites/OpenGive/gesia.io/common/css/layout7021.css	(from https://gesia.io/)
18:27:27	22681/22681	---M--	200	added ('OK')	text/css	etag:W/%221320046-22681-2024-04-18T16:11:01.888Z%22	https://gesia.io/common/css/contents.css?update=240418_1216	C:/My%20Web%20Sites/OpenGive/gesia.io/common/css/contents7021.css	(from https://gesia.io/)
18:27:27	18804/18804	---M--	200	added ('OK')	text/css	etag:W/%221320051-18804-2024-04-18T16:11:01.968Z%22	https://gesia.io/common/css/response.css?update=240418_1216	C:/My%20Web%20Sites/OpenGive/gesia.io/common/css/response7021.css	(from https://gesia.io/)
18:27:27	6285/6285	---M--	200	added ('OK')	application/javascript	etag:W/%221320056-6285-2024-04-18T16:11:02.148Z%22	https://gesia.io/common/js/jquery.number.min.js	C:/My%20Web%20Sites/OpenGive/gesia.io/common/js/jquery.number.min.js	(from https://gesia.io/)
18:27:27	85655/85655	---M--	200	added ('OK')	application/javascript	etag:W/%221320055-85655-2024-04-18T16:11:02.112Z%22	https://gesia.io/common/js/jquery.min.js	C:/My%20Web%20Sites/OpenGive/gesia.io/common/js/jquery.min.js	(from https://gesia.io/)
18:27:28	18451/18451	---M-Z	200	added ('OK')	text/css	etag:W/%224813-cVRgrthAcZRLwmt8seVl8+0QciE%22	https://cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	C:/My%20Web%20Sites/OpenGive/cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	(from https://gesia.io/)
18:27:28	118517/118517	---M--	200	added ('OK')	application/javascript	etag:W/%221320054-118517-2024-04-18T16:11:02.060Z%22	https://gesia.io/common/js/fullPage.min.js	C:/My%20Web%20Sites/OpenGive/gesia.io/common/js/fullPage.min.js	(from https://gesia.io/)
